1 116.78
2 123.8
3 92.56
4 98.02
5 102.34
6 92.34
7 103.16
8 79.44
9 123.34
10 88.9
11 90.88
12 106.58
13 94.46
14 101.5
15 85.52
16 105
17 133.22
18 96.64
19 95.16
20 102.76
21 107.68
22 113.9
23 115.6
24 113.24
25 109.42
26 115.5
27 104.76
28 106.86
29 92.06
30 132.08
31 100.28
32 105.66
33 99.08
34 81.88
35 102.14
36 88.8
37 94.56
38 91.84
39 108.66
40 120.68
41 85.96
42 85.92
43 86.64
44 94
45 88.9
46 107.42
47 102.5
48 113.28
49 118.88
50 94.4
51 90.5
52 88.86
53 89.36
54 75.46
55 90.92
56 87.54
57 84.2
58 116.44
59 126.02
60 89.98
61 97.86
62 84.8
63 100.22
64 82.34
65 78.96
66 87.86
67 126.68
68 83.14
69 108.58
70 117.26
71 116.42
72 81.04
73 97.44
74 79.22
75 99.66
76 100.22
77 95.24
78 89.88
79 108.24
80 118.34
81 97.96
82 98.52
83 77.62
84 106.42
85 93.26
86 96.8
87 113.86
88 98.06
89 100.76
90 105.24
91 69.2
92 76.52
93 84.38
94 101.04
95 110.3
96 87.86
97 85.2
98 93.92
99 87.76
